id,title,slug,brand,confidence,categoryPath,sku,importFile,priceUae,priceKsa,compareAtPriceUae,compareAtPriceKsa,processor,ram,storage,condition,imageCount,blockers,notes
prod_import_xlsx_1776538003641_11,HP ProBook 440 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 14-inch | Windows 11 Pro,hp-probook-440-g5,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-440-G5,exshopi_full_350_products_with_specs.xlsx,850,,850,,Core i5-8250U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_12,HP ProBook 440 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,hp-probook-440-g6,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-440-G6,exshopi_full_350_products_with_specs.xlsx,950,,950,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_13,HP ProBook 440 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 14-inch | Windows 11 Pro,hp-probook-440-g7,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-440-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_14,HP ProBook 450 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,hp-probook-450-g5,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-450-G5,exshopi_full_350_products_with_specs.xlsx,850,,850,,Core i5-8250U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_15,HP ProBook 450 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,hp-probook-450-g6,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-450-G6,exshopi_full_350_products_with_specs.xlsx,950,,950,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_16,HP ProBook 450 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 15.6-inch | Windows 11 Pro,hp-probook-450-g7,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-450-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_17,HP ProBook 455 G7 Laptop,hp-probook-455-g7,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-455-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Ryzen 5 4500U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_18,HP ProBook 640 G4 Laptop,hp-probook-640-g4,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-640-G4,exshopi_full_350_products_with_specs.xlsx,760,,760,,Core i5-7300U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_19,HP ProBook 650 G4 Laptop,hp-probook-650-g4,HP,low,electronics/laptops,EX-DRAFT-HP-PROBOOK-650-G4,exshopi_full_350_products_with_specs.xlsx,840,,840,,Core i5-7300U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_20,HP EliteBook x360 1030 G2 Laptop,hp-elitebook-x360-1030-g2,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-X360-1030-G2,exshopi_full_350_products_with_specs.xlsx,1050,,1050,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
